Cited Article Title,Cited Article EID,Cited Article Link,Miscited Article Title,Miscited Article EID,Miscited Article Link,Citing Article Title,Citing Article EID,Citing Article Link,Reason
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Graph InfoClust: Maximizing Coarse-Grain Mutual Information in Graphs,2-s2.0-85111098601,https://www.scopus.com/record/display.url?eid=2-s2.0-85111098601&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Multiobjective Brainstorm Optimization with Diversity Preservation Mechanism for Nonlinear Equation Systems,2-s2.0-85107508335,https://www.scopus.com/record/display.url?eid=2-s2.0-85107508335&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Artificial intelligence system based on the layout effect of both sides in volleyball matches,2-s2.0-85100600512,https://www.scopus.com/record/display.url?eid=2-s2.0-85100600512&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Detection method of sports scene conversion for MPEG compressed video based on fuzzy logic,2-s2.0-85100572886,https://www.scopus.com/record/display.url?eid=2-s2.0-85100572886&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,VStreamDRLS: Dynamic Graph Representation Learning with Self-Attention for Enterprise Distributed Video Streaming Solutions,2-s2.0-85098823882,https://www.scopus.com/record/display.url?eid=2-s2.0-85098823882&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,OpenWGL: Open-world graph learning,2-s2.0-85100880029,https://www.scopus.com/record/display.url?eid=2-s2.0-85100880029&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,ST-MGAT: Spatial-Temporal Multi-Head Graph Attention Networks for Traffic Forecasting,2-s2.0-85098800848,https://www.scopus.com/record/display.url?eid=2-s2.0-85098800848&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,An improved MOEA/D algorithm with an adaptive evolutionary strategy,2-s2.0-85086726058,https://www.scopus.com/record/display.url?eid=2-s2.0-85086726058&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,CSO-based energy-efficient reliable sectoring-scheme in WSN,2-s2.0-85091340340,https://www.scopus.com/record/display.url?eid=2-s2.0-85091340340&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Changes of skeletal muscle microstructures in swimmers were observed by microscope,2-s2.0-85088273792,https://www.scopus.com/record/display.url?eid=2-s2.0-85088273792&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Overtraining on renal tissue were simulated under microscope for ultrapathology and enzyme histochemistry,2-s2.0-85088168779,https://www.scopus.com/record/display.url?eid=2-s2.0-85088168779&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,A region division based decomposition approach for evolutionary many-objective optimization,2-s2.0-85078585592,https://www.scopus.com/record/display.url?eid=2-s2.0-85078585592&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Graph Attention Topic Modeling Network,2-s2.0-85086590557,https://www.scopus.com/record/display.url?eid=2-s2.0-85086590557&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Unsupervised Domain Adaptive Graph Convolutional Networks,2-s2.0-85086572817,https://www.scopus.com/record/display.url?eid=2-s2.0-85086572817&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Superpixel generation for polarimetric SAR using Hierarchical Energy maximization,2-s2.0-85092638809,https://www.scopus.com/record/display.url?eid=2-s2.0-85092638809&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,JANE: Jointly adversarial network embedding,2-s2.0-85097346661,https://www.scopus.com/record/display.url?eid=2-s2.0-85097346661&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,KnEA with Ensemble Approach for Parameter Selection for Many-Objective Optimization,2-s2.0-85083996761,https://www.scopus.com/record/display.url?eid=2-s2.0-85083996761&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Decomposition Based Differentiate Evolution Algorithm with Niching Strategy for Multimodal Multi-objective Optimization,2-s2.0-85083984573,https://www.scopus.com/record/display.url?eid=2-s2.0-85083984573&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Many-Objective Evolutionary Optimization Based Economic Dispatch of Integrated Energy System with Multi-microgrid and CHP,2-s2.0-85083984281,https://www.scopus.com/record/display.url?eid=2-s2.0-85083984281&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Ensemble Learning Based on Multimodal Multiobjective Optimization,2-s2.0-85083967231,https://www.scopus.com/record/display.url?eid=2-s2.0-85083967231&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85078957008,https://www.scopus.com/record/display.url?eid=2-s2.0-85078957008&origin=resultslist,Domain-adversarial graph neural networks for text classification,2-s2.0-85078952313,https://www.scopus.com/record/display.url?eid=2-s2.0-85078952313&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85074937855,https://www.scopus.com/record/display.url?eid=2-s2.0-85074937855&origin=resultslist,Graph wavenet for deep spatial-temporal graph modeling,2-s2.0-85074914183,https://www.scopus.com/record/display.url?eid=2-s2.0-85074914183&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning Graph Embedding with Adversarial Training Methods,2-s2.0-85076834615,https://www.scopus.com/record/display.url?eid=2-s2.0-85076834615&origin=resultslist,Network Representation Learning Framework Based on Adversarial Graph Convolutional Networks [基于对抗图卷积的网络表征学习框架],2-s2.0-85076865354,https://www.scopus.com/record/display.url?eid=2-s2.0-85076865354&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning Graph Embedding with Adversarial Training Methods,2-s2.0-85076834615,https://www.scopus.com/record/display.url?eid=2-s2.0-85076834615&origin=resultslist,Graph convolutional network and convolutional neural network based method for predicting lncRNA-disease associations,2-s2.0-85073322332,https://www.scopus.com/record/display.url?eid=2-s2.0-85073322332&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85073201049,https://www.scopus.com/record/display.url?eid=2-s2.0-85073201049&origin=resultslist,Smooth Deep Network Embedding,2-s2.0-85073244550,https://www.scopus.com/record/display.url?eid=2-s2.0-85073244550&origin=resultslist,F07
Learning graph embedding with adversarial training methods,2-s2.0-85084693111,https://www.scopus.com/record/display.url?eid=2-s2.0-85084693111&origin=resultslist,Learning graph embedding with adversarial training methods,2-s2.0-85073201049,https://www.scopus.com/record/display.url?eid=2-s2.0-85073201049&origin=resultslist,Link prediction in evolving networks base on information propagation,2-s2.0-85077714127,https://www.scopus.com/record/display.url?eid=2-s2.0-85077714127&origin=resultslist,F07
