EID,Abstract,Year,Title
2-s2.0-85116537453,https://www.scopus.com/record/display.url?eid=2-s2.0-85116537453&origin=resultslist,2021,Defect-Rich Hierarchical Porous UiO-66(Zr) for Tunable Phosphate Removal
2-s2.0-85135461030,https://www.scopus.com/record/display.url?eid=2-s2.0-85135461030&origin=resultslist,2022,URetinex-Net: Retinex-based Deep Unfolding Network for Low-light Image Enhancement
2-s2.0-85114093270,https://www.scopus.com/record/display.url?eid=2-s2.0-85114093270&origin=resultslist,2021,ZnIn<sub>2</sub>S<sub>4</sub>-Based Photocatalysts for Energy and Environmental Applications
2-s2.0-85064704140,https://www.scopus.com/record/display.url?eid=2-s2.0-85064704140&origin=resultslist,2020,Automatic Niching Differential Evolution with Contour Prediction Approach for Multimodal Optimization Problems
2-s2.0-85074681666,https://www.scopus.com/record/display.url?eid=2-s2.0-85074681666&origin=resultslist,2020,The recent progress of functionally graded CNT reinforced composites and structures
2-s2.0-85093092199,https://www.scopus.com/record/display.url?eid=2-s2.0-85093092199&origin=resultslist,2020,Creating MXene/reduced graphene oxide hybrid towards highly fire safe thermoplastic polyurethane nanocomposites
2-s2.0-85104940722,https://www.scopus.com/record/display.url?eid=2-s2.0-85104940722&origin=resultslist,2021,Graphitic carbon nitride-based materials for photocatalytic antibacterial application
2-s2.0-85112675653,https://www.scopus.com/record/display.url?eid=2-s2.0-85112675653&origin=resultslist,2021,Simultaneously enhancing the ultimate strength and ductility of high-entropy alloys via short-range ordering
2-s2.0-85087210206,https://www.scopus.com/record/display.url?eid=2-s2.0-85087210206&origin=resultslist,2020,Solvothermal synthesis of copper-doped BiOBr microflowers with enhanced adsorption and visible-light driven photocatalytic degradation of norfloxacin
2-s2.0-85078980714,https://www.scopus.com/record/display.url?eid=2-s2.0-85078980714&origin=resultslist,2020,Emerging Frontiers of Upconversion Nanoparticles
2-s2.0-85123073224,https://www.scopus.com/record/display.url?eid=2-s2.0-85123073224&origin=resultslist,2023,A Geometric Criterion for the Existence of Chaos Based on Periodic Orbits in Continuous-Time Autonomous Systems
2-s2.0-85085093682,https://www.scopus.com/record/display.url?eid=2-s2.0-85085093682&origin=resultslist,2020,"Phosphorene as Cathode Material for High-Voltage, Anti-Self-Discharge Zinc Ion Hybrid Capacitors"
2-s2.0-85094901059,https://www.scopus.com/record/display.url?eid=2-s2.0-85094901059&origin=resultslist,2020,Electrochromic two-dimensional covalent organic framework with a reversible dark-to-transparent switch
2-s2.0-85101168430,https://www.scopus.com/record/display.url?eid=2-s2.0-85101168430&origin=resultslist,2021,A Self-Adaptive Differential Evolution Algorithm for Scheduling a Single Batch-Processing Machine with Arbitrary Job Sizes and Release Times
2-s2.0-85102846137,https://www.scopus.com/record/display.url?eid=2-s2.0-85102846137&origin=resultslist,2021,Photodynamic therapy for hypoxic tumors: Advances and perspectives
2-s2.0-85091524701,https://www.scopus.com/record/display.url?eid=2-s2.0-85091524701&origin=resultslist,2021,Event-Triggered Dynamic Surface Control of an Underactuated Autonomous Surface Vehicle for Target Enclosing
2-s2.0-85149958949,https://www.scopus.com/record/display.url?eid=2-s2.0-85149958949&origin=resultslist,2023,Blockchain for the metaverse: A Review
2-s2.0-85116889551,https://www.scopus.com/record/display.url?eid=2-s2.0-85116889551&origin=resultslist,2022,BiERU: Bidirectional emotional recurrent unit for conversational sentiment analysis
2-s2.0-85104047591,https://www.scopus.com/record/display.url?eid=2-s2.0-85104047591&origin=resultslist,2021,Fe-Based Coordination Polymers as Battery-Type Electrodes in Semi-Solid-State Battery-Supercapacitor Hybrid Devices
2-s2.0-85101397678,https://www.scopus.com/record/display.url?eid=2-s2.0-85101397678&origin=resultslist,2021,Non-Metal Ion Co-Insertion Chemistry in Aqueous Zn/MnO<sub>2</sub> Batteries
2-s2.0-85087291346,https://www.scopus.com/record/display.url?eid=2-s2.0-85087291346&origin=resultslist,2020,InP Quantum Dots: Synthesis and Lighting Applications
2-s2.0-85105216046,https://www.scopus.com/record/display.url?eid=2-s2.0-85105216046&origin=resultslist,2021,Control of particulate nitrate air pollution in China
2-s2.0-85100419580,https://www.scopus.com/record/display.url?eid=2-s2.0-85100419580&origin=resultslist,2021,"A survey of breakthrough in blockchain technology: Adoptions, applications, challenges and future research"
2-s2.0-85110184743,https://www.scopus.com/record/display.url?eid=2-s2.0-85110184743&origin=resultslist,2021,Multi-Functional Hydrogels for Flexible Zinc-Based Batteries Working under Extreme Conditions
2-s2.0-85147608245,https://www.scopus.com/record/display.url?eid=2-s2.0-85147608245&origin=resultslist,2022,Low-Light Image Enhancement with Normalizing Flow
2-s2.0-85079908217,https://www.scopus.com/record/display.url?eid=2-s2.0-85079908217&origin=resultslist,2020,Superior high-temperature properties and deformation-induced planar faults in a novel L1<sub>2</sub>-strengthened high-entropy alloy
2-s2.0-85094565711,https://www.scopus.com/record/display.url?eid=2-s2.0-85094565711&origin=resultslist,2020,Bringing old photos back to life
2-s2.0-85106902108,https://www.scopus.com/record/display.url?eid=2-s2.0-85106902108&origin=resultslist,2021,A global metagenomic map of urban microbiomes and antimicrobial resistance
2-s2.0-85112710142,https://www.scopus.com/record/display.url?eid=2-s2.0-85112710142&origin=resultslist,2021,DPANet: Depth Potentiality-Aware Gated Attention Network for RGB-D Salient Object Detection
2-s2.0-85092620117,https://www.scopus.com/record/display.url?eid=2-s2.0-85092620117&origin=resultslist,2020,Applications of Gene Expression Programming for Estimating Compressive Strength of High-Strength Concrete
2-s2.0-85115021140,https://www.scopus.com/record/display.url?eid=2-s2.0-85115021140&origin=resultslist,2021,"Nickelate Superconductivity without Rare-Earth Magnetism: (La,Sr)NiO<sub>2</sub>"
2-s2.0-85115862554,https://www.scopus.com/record/display.url?eid=2-s2.0-85115862554&origin=resultslist,2021,Recent developments in 2D transition metal dichalcogenides: Phase transition and applications of the (quasi-)metallic phases
2-s2.0-85143510011,https://www.scopus.com/record/display.url?eid=2-s2.0-85143510011&origin=resultslist,2023,Highly Reversible Zinc Metal Anode in a Dilute Aqueous Electrolyte Enabled by a pH Buffer Additive
2-s2.0-85081248313,https://www.scopus.com/record/display.url?eid=2-s2.0-85081248313&origin=resultslist,2020,Water-resistant perovskite nanodots enable robust two-photon lasing in aqueous environment
2-s2.0-85058075679,https://www.scopus.com/record/display.url?eid=2-s2.0-85058075679&origin=resultslist,2020,Distributed Event-Triggered Adaptive Control for Consensus of Linear Multi-Agent Systems with External Disturbances
2-s2.0-85118269565,https://www.scopus.com/record/display.url?eid=2-s2.0-85118269565&origin=resultslist,2021,Multiexcitonic Emission in Zero-Dimensional Cs<sub>2</sub>ZrCl<sub>6</sub>:Sb<sup>3+</sup>Perovskite Crystals
2-s2.0-85100703368,https://www.scopus.com/record/display.url?eid=2-s2.0-85100703368&origin=resultslist,2021,Prediction of compressive strength of fly ash based concrete using individual and ensemble algorithm
2-s2.0-85077701595,https://www.scopus.com/record/display.url?eid=2-s2.0-85077701595&origin=resultslist,2020,Statistical investigations of transfer learning-based methodology for short-term building energy predictions
2-s2.0-85097620954,https://www.scopus.com/record/display.url?eid=2-s2.0-85097620954&origin=resultslist,2020,Guided Collaborative Training for Pixel-Wise Semi-Supervised Learning
2-s2.0-85109403277,https://www.scopus.com/record/display.url?eid=2-s2.0-85109403277&origin=resultslist,2022,Recent Progress in External-Stimulus-Responsive 2D Covalent Organic Frameworks
2-s2.0-85115704480,https://www.scopus.com/record/display.url?eid=2-s2.0-85115704480&origin=resultslist,2021,PointDSC: Robust Point Cloud Registration using Deep Spatial Consistency
2-s2.0-85106483590,https://www.scopus.com/record/display.url?eid=2-s2.0-85106483590&origin=resultslist,2021,Solving Large-Scale Multiobjective Optimization Problems with Sparse Optimal Solutions via Unsupervised Neural Networks
2-s2.0-85076104381,https://www.scopus.com/record/display.url?eid=2-s2.0-85076104381&origin=resultslist,2020,"Soft Crawling Robots: Design, Actuation, and Locomotion"
2-s2.0-85076676296,https://www.scopus.com/record/display.url?eid=2-s2.0-85076676296&origin=resultslist,2020,"A semi-interpenetrating network ionic hydrogel for strain sensing with high sensitivity, large strain range, and stable cycle performance"
2-s2.0-85082860957,https://www.scopus.com/record/display.url?eid=2-s2.0-85082860957&origin=resultslist,2020,Bright CsPbI<sub>3</sub> Perovskite Quantum Dot Light-Emitting Diodes with Top-Emitting Structure and a Low Efficiency Roll-Off Realized by Applying Zirconium Acetylacetonate Surface Modification
2-s2.0-85097332337,https://www.scopus.com/record/display.url?eid=2-s2.0-85097332337&origin=resultslist,2021,Virtual-Vector-Based Robust Predictive Current Control for Dual Three-Phase PMSM
2-s2.0-85124727266,https://www.scopus.com/record/display.url?eid=2-s2.0-85124727266&origin=resultslist,2023,Design and Analysis of Multiscroll Memristive Hopfield Neural Network With Adjustable Memductance and Application to Image Encryption
2-s2.0-85117799834,https://www.scopus.com/record/display.url?eid=2-s2.0-85117799834&origin=resultslist,2021,Phyllotaxis-inspired nanosieves with multiplexed orbital angular momentum
2-s2.0-85148900010,https://www.scopus.com/record/display.url?eid=2-s2.0-85148900010&origin=resultslist,2022,Building durable aqueous K-ion capacitors based on MXene family
2-s2.0-85121423365,https://www.scopus.com/record/display.url?eid=2-s2.0-85121423365&origin=resultslist,2022,Stabilizing Interface pH by N-Modified Graphdiyne for Dendrite-Free and High-Rate Aqueous Zn-Ion Batteries
2-s2.0-85115217305,https://www.scopus.com/record/display.url?eid=2-s2.0-85115217305&origin=resultslist,2021,Achieving ultrahigh instantaneous power density of 10 MW/m<sup>2</sup> by leveraging the opposite-charge-enhanced transistor-like triboelectric nanogenerator (OCT-TENG)
2-s2.0-85127000868,https://www.scopus.com/record/display.url?eid=2-s2.0-85127000868&origin=resultslist,2021,High-Fidelity Pluralistic Image Completion with Transformers
2-s2.0-85072699899,https://www.scopus.com/record/display.url?eid=2-s2.0-85072699899&origin=resultslist,2020,Polymers for supercapacitors: Boosting the development of the flexible and wearable energy storage
2-s2.0-85072822723,https://www.scopus.com/record/display.url?eid=2-s2.0-85072822723&origin=resultslist,2020,A bifunctional hydrogel incorporated with CuS@MoS<sub>2</sub> microspheres for disinfection and improved wound healing
2-s2.0-85081124418,https://www.scopus.com/record/display.url?eid=2-s2.0-85081124418&origin=resultslist,2020,Control of nanoscale precipitation and elimination of intermediate-temperature embrittlement in multicomponent high-entropy alloys
2-s2.0-85137049251,https://www.scopus.com/record/display.url?eid=2-s2.0-85137049251&origin=resultslist,2022,The weakly negative permittivity with low-frequency-dispersion behavior in percolative carbon nanotubes/epoxy nanocomposites at radio-frequency range
2-s2.0-85101087750,https://www.scopus.com/record/display.url?eid=2-s2.0-85101087750&origin=resultslist,2021,Adaptive Granularity Learning Distributed Particle Swarm Optimization for Large-Scale Optimization
2-s2.0-85096636242,https://www.scopus.com/record/display.url?eid=2-s2.0-85096636242&origin=resultslist,2021,Social support at work: An integrative review
2-s2.0-85118503318,https://www.scopus.com/record/display.url?eid=2-s2.0-85118503318&origin=resultslist,2021,PD-GAN: Probabilistic Diverse GAN for Image Inpainting
2-s2.0-85115072394,https://www.scopus.com/record/display.url?eid=2-s2.0-85115072394&origin=resultslist,2021,Toward a Practical Zn Powder Anode: Ti<sub>3</sub>C<sub>2</sub>Tx MXene as a Lattice-Match Electrons/Ions Redistributor
2-s2.0-85088959603,https://www.scopus.com/record/display.url?eid=2-s2.0-85088959603&origin=resultslist,2020,Vertically Aligned Sn<sup>4+</sup> Preintercalated Ti<sub>2</sub>CT<sub>X</sub> MXene Sphere with Enhanced Zn Ion Transportation and Superior Cycle Lifespan
2-s2.0-85088201255,https://www.scopus.com/record/display.url?eid=2-s2.0-85088201255&origin=resultslist,2020,Going from RGB to RGBD Saliency: A Depth-Guided Transformation Model
