EID,Abstract,Year
2-s2.0-85076676296,https://www.scopus.com/record/display.url?eid=2-s2.0-85076676296&origin=resultslist,2020
2-s2.0-85082860957,https://www.scopus.com/record/display.url?eid=2-s2.0-85082860957&origin=resultslist,2020
2-s2.0-85097332337,https://www.scopus.com/record/display.url?eid=2-s2.0-85097332337&origin=resultslist,2021
2-s2.0-85124727266,https://www.scopus.com/record/display.url?eid=2-s2.0-85124727266&origin=resultslist,2023
2-s2.0-85117799834,https://www.scopus.com/record/display.url?eid=2-s2.0-85117799834&origin=resultslist,2021
2-s2.0-85148900010,https://www.scopus.com/record/display.url?eid=2-s2.0-85148900010&origin=resultslist,2022
2-s2.0-85121423365,https://www.scopus.com/record/display.url?eid=2-s2.0-85121423365&origin=resultslist,2022
2-s2.0-85115217305,https://www.scopus.com/record/display.url?eid=2-s2.0-85115217305&origin=resultslist,2021
2-s2.0-85127000868,https://www.scopus.com/record/display.url?eid=2-s2.0-85127000868&origin=resultslist,2021
2-s2.0-85072699899,https://www.scopus.com/record/display.url?eid=2-s2.0-85072699899&origin=resultslist,2020
2-s2.0-85072822723,https://www.scopus.com/record/display.url?eid=2-s2.0-85072822723&origin=resultslist,2020
2-s2.0-85081124418,https://www.scopus.com/record/display.url?eid=2-s2.0-85081124418&origin=resultslist,2020
2-s2.0-85137049251,https://www.scopus.com/record/display.url?eid=2-s2.0-85137049251&origin=resultslist,2022
2-s2.0-85101087750,https://www.scopus.com/record/display.url?eid=2-s2.0-85101087750&origin=resultslist,2021
2-s2.0-85096636242,https://www.scopus.com/record/display.url?eid=2-s2.0-85096636242&origin=resultslist,2021
2-s2.0-85118503318,https://www.scopus.com/record/display.url?eid=2-s2.0-85118503318&origin=resultslist,2021
2-s2.0-85115072394,https://www.scopus.com/record/display.url?eid=2-s2.0-85115072394&origin=resultslist,2021
2-s2.0-85088959603,https://www.scopus.com/record/display.url?eid=2-s2.0-85088959603&origin=resultslist,2020
2-s2.0-85088201255,https://www.scopus.com/record/display.url?eid=2-s2.0-85088201255&origin=resultslist,2020
